iter	Passed	Remaining
481	611	657
482	612	655
483	613	654
484	614	652
485	615	651
486	616	649
487	617	647
488	618	646
489	619	644
490	620	643
491	621	642
492	623	640
493	623	639
494	624	637
495	625	635
496	626	634
497	627	632
498	628	631
499	629	629
500	630	628
501	631	626
502	632	624
503	633	623
504	634	621
505	635	620
506	636	618
507	637	617
508	638	615
509	639	614
510	640	612
511	641	611
512	642	609
513	643	608
514	644	606
515	645	605
516	646	603
517	647	602
518	648	600
519	648	599
520	649	597
521	650	596
522	652	594
523	653	593
524	653	591
525	654	590
526	655	588
527	656	586
528	657	585
529	658	583
530	659	582
531	660	580
532	660	579
533	661	577
534	662	576
535	663	574
536	664	573
537	665	571
538	666	570
539	667	568
540	668	567
541	669	565
542	670	564
543	671	562
544	672	561
545	673	559
546	674	558
547	675	556
548	676	555
549	677	553
550	678	552
551	678	551
552	679	549
553	680	547
554	681	546
555	682	545
556	683	543
557	684	542
558	685	540
559	686	539
560	687	537
561	688	536
562	688	534
563	689	533
564	690	531
565	691	530
566	692	529
567	693	527
568	695	526
569	695	525
570	696	523
571	697	522
572	698	520
573	699	519
574	700	517
575	701	516
576	702	514
577	703	513
578	704	512
579	705	510
580	706	509
581	707	507
582	708	506
583	709	505
584	710	503
585	710	502
586	711	500
587	712	499
588	713	497
589	714	496
590	715	495
591	716	493
592	717	492
593	718	491
594	719	489
595	720	488
596	721	486
597	722	485
598	723	484
599	724	482
600	725	481
601	726	480
602	727	478
603	728	477
604	728	475
605	729	474
606	730	473
607	731	471
608	732	470
609	733	468
610	734	467
611	735	466
612	736	464
613	737	463
614	738	462
615	739	460
616	740	459
617	741	458
618	742	456
619	743	455
620	744	454
621	745	452
622	746	451
623	747	450
624	748	448
625	748	447
626	749	446
627	750	444
628	751	443
629	752	442
630	753	440
631	754	439
632	755	437
633	756	436
634	757	435
635	758	433
636	758	432
637	759	431
638	760	429
639	761	428
640	762	427
641	763	425
642	764	424
643	765	423
644	766	421
645	767	420
646	768	419
647	769	417
648	770	416
649	771	415
650	772	414
651	773	413
652	774	411
653	775	410
654	776	409
655	777	407
656	778	406
657	779	405
658	780	403
659	781	402
660	783	401
661	784	400
662	785	399
663	786	397
664	787	396
665	788	395
666	788	393
667	789	392
668	790	391
669	791	389
670	792	388
671	793	387
672	794	385
673	795	384
674	796	383
675	797	382
676	798	380
677	798	379
678	799	378
679	800	376
680	801	375
681	802	374
682	803	373
683	804	371
684	805	370
685	806	369
686	807	367
687	808	366
688	809	365
689	810	364
690	811	363
691	813	362
692	814	360
693	815	359
694	816	358
695	816	356
696	817	355
697	818	354
698	819	352
699	820	351
700	821	350
701	822	349
702	823	347
703	824	346
704	825	345
705	826	344
706	827	342
707	828	341
708	829	340
709	830	339
710	830	337
711	831	336
712	832	335
713	833	333
714	834	332
715	835	331
716	836	330
717	837	329
718	838	327
719	839	326
720	840	325
721	841	324
722	842	322
723	843	321
724	844	320
725	845	319
726	846	317
727	847	316
728	848	315
729	849	314
730	850	312
731	851	311
732	852	310
733	853	309
734	854	307
735	856	307
736	857	305
737	858	304
738	859	303
739	860	302
740	860	300
741	861	299
742	862	298
743	863	297
744	864	296
745	865	294
746	866	293
747	867	292
748	868	291
749	870	290
750	871	288
751	872	287
752	873	286
753	874	285
754	875	283
755	876	282
756	876	281
757	877	280
758	878	279
759	879	277
760	880	276
761	881	275
762	882	274
763	883	272
764	885	271
765	885	270
766	886	269
767	887	268
768	888	267
769	890	265
770	891	264
771	891	263
772	892	262
773	893	260
774	894	259
775	895	258
776	896	257
777	897	256
778	898	254
779	901	254
780	902	253
781	903	251
782	904	250
783	905	249
784	906	248
785	907	247
786	908	245
787	909	244
788	910	243
789	911	242
790	912	240
791	912	239
792	913	238
793	915	237
794	916	236
795	917	235
796	918	233
797	919	232
798	920	231
799	920	230
800	921	229
801	922	227
802	923	226
803	924	225
804	925	224
805	926	223
806	927	221
807	928	220
808	929	219
809	930	218
810	931	217
811	932	215
812	933	214
813	934	213
814	935	212
815	936	211
816	937	209
817	938	208
818	939	207
819	940	206
820	941	205
821	942	204
822	943	202
823	944	201
824	945	200
825	946	199
826	947	198
827	948	197
828	949	195
829	950	194
830	951	193
831	952	192
832	953	191
833	954	189
834	955	188
835	956	187
836	957	186
837	958	185
838	959	184
839	961	183
840	962	182
841	963	180
842	964	179
843	965	178
844	966	177
845	967	176
846	967	174
847	968	173
848	969	172
849	970	171
850	971	170
851	972	168
852	973	167
853	974	166
854	975	165
855	976	164
856	977	163
857	978	161
858	979	160
859	980	159
860	981	158
861	982	157
862	982	156
863	983	154
864	984	153
865	985	152
866	986	151
867	987	150
868	988	148
869	989	147
870	990	146
871	991	145
872	992	144
873	993	143
874	994	142
875	995	140
876	996	139
877	997	138
878	998	137
879	999	136
880	999	135
881	1000	133
882	1001	132
883	1002	131
884	1005	130
885	1006	129
886	1007	128
887	1008	127
888	1009	126
889	1010	124
890	1011	123
891	1012	122
892	1013	121
893	1014	120
894	1015	119
895	1016	118
896	1017	116
897	1018	115
898	1020	114
899	1021	113
900	1022	112
901	1023	111
902	1024	110
903	1025	108
904	1026	107
905	1027	106
906	1027	105
907	1028	104
908	1029	103
909	1030	101
910	1031	100
911	1032	99
912	1033	98
913	1034	97
914	1035	96
915	1036	95
916	1037	93
917	1038	92
918	1039	91
919	1040	90
920	1041	89
921	1042	88
922	1043	87
923	1044	85
924	1045	84
925	1046	83
926	1046	82
927	1047	81
928	1049	80
929	1049	79
930	1050	77
931	1051	76
932	1052	75
933	1053	74
934	1054	73
935	1055	72
936	1056	71
937	1057	69
938	1058	68
939	1058	67
940	1059	66
941	1060	65
942	1061	64
943	1062	63
944	1063	61
945	1064	60
946	1065	59
947	1066	58
948	1067	57
949	1068	56
950	1069	55
951	1071	54
952	1072	52
953	1073	51
954	1073	50
955	1074	49
956	1075	48
957	1076	47
958	1078	46
959	1087	45
960	1088	44
961	1089	43
962	1090	41
963	1090	40
964	1091	39
965	1092	38
966	1093	37
967	1094	36
968	1095	35
969	1096	33
970	1097	32
971	1098	31
972	1098	30
973	1099	29
974	1101	28
975	1102	27
976	1102	25
977	1103	24
978	1104	23
979	1105	22
980	1106	21
981	1107	20
982	1108	19
983	1109	18
984	1110	16
985	1111	15
986	1112	14
987	1113	13
988	1113	12
989	1114	11
990	1115	10
991	1116	9
992	1117	7
993	1118	6
994	1119	5
995	1120	4
996	1121	3
997	1122	2
998	1123	1
999	1124	0
